mesh,num_vertices,x_min,x_max,x_mean,x_std,y_min,y_max,y_mean,y_std,z_min,z_max,z_mean,z_std
branch.obj,2767,-0.8515620231628418,0.8496090173721313,0.07544269412755966,0.3433801829814911,0.0,1.9003909826278687,1.0873903036117554,0.45699113607406616,-0.4648439884185791,0.46289101243019104,0.1219668909907341,0.20006683468818665
cylinder.obj,192,-1.0,1.0,0.0,0.7071068286895752,-1.0,1.0,0.0,1.0,-1.0,1.0,0.0,0.7071068286895752
explosive.obj,2812,-0.19962500035762787,0.19962500035762787,0.04288751259446144,0.11509640514850616,-0.0,1.0,0.5291126370429993,0.3899412751197815,-0.19712600111961365,0.19712600111961365,-0.0034459102898836136,0.09467640519142151
fence.obj,1088,-0.5,0.5,-0.0035076141357421875,0.3457942306995392,-0.0,0.8431699872016907,0.410475492477417,0.25404614210128784,-0.02250000089406967,0.02250000089406967,-0.0004411764966789633,0.010980775579810143
girl.obj,8284,-0.5,0.5,0.002113102935254574,0.17875614762306213,0.0,0.9044190049171448,0.40338489413261414,0.2143891602754593,-0.1814109981060028,0.1814109981060028,0.01400204747915268,0.06178976222872734
person.obj,3103,-0.84375,0.8417969942092896,0.004886927083134651,0.3951321542263031,-0.0,1.9003909826278687,1.1594595909118652,0.5118824243545532,-0.21289099752902985,0.2109380066394806,-0.003614213550463319,0.0951443463563919
table.obj,3148,-0.20890599489212036,0.20890599489212036,-0.013190466910600662,0.1531193107366562,-0.0,0.6117609739303589,0.3863740563392639,0.19192154705524445,-0.5,0.5,-0.0035868012346327305,0.34605151414871216
talwar.obj,1668,-0.031922001391649246,0.031922001391649246,0.0216936394572258,0.011166458949446678,0.0,1.0,0.3027951717376709,0.2368689328432083,-0.11714600026607513,0.11714600026607513,-0.004364623222500086,0.04678924381732941
